Source,Target,Type
rt,better,Undirected
rt,good,Undirected
rt,looking,Undirected
rt,ford,Undirected
rt,mustang,Undirected
rt,lucky,Undirected
rt,u,Undirected
rt,ve,Undirected
rt,got,Undirected
rt,quite,Undirected
rt,bristol,Undirected
stewarthaasrcng,nothing,Undirected
stewarthaasrcng,better,Undirected
stewarthaasrcng,good,Undirected
stewarthaasrcng,looking,Undirected
stewarthaasrcng,ford,Undirected
stewarthaasrcng,mustang,Undirected
stewarthaasrcng,lucky,Undirected
stewarthaasrcng,u,Undirected
stewarthaasrcng,ve,Undirected
stewarthaasrcng,got,Undirected
stewarthaasrcng,quite,Undirected
stewarthaasrcng,bristol,Undirected
nothing,better,Undirected
nothing,good,Undirected
nothing,looking,Undirected
nothing,ford,Undirected
nothing,mustang,Undirected
nothing,lucky,Undirected
nothing,u,Undirected
nothing,ve,Undirected
nothing,got,Undirected
nothing,quite,Undirected
nothing,bristol,Undirected
better,good,Undirected
better,looking,Undirected
better,ford,Undirected
better,mustang,Undirected
better,lucky,Undirected
better,u,Undirected
better,ve,Undirected
better,got,Undirected
better,quite,Undirected
better,bristol,Undirected
good,looking,Undirected
good,ford,Undirected
good,mustang,Undirected
good,lucky,Undirected
good,u,Undirected
good,ve,Undirected
good,got,Undirected
good,quite,Undirected
good,bristol,Undirected
looking,ford,Undirected
looking,mustang,Undirected
looking,lucky,Undirected
looking,u,Undirected
looking,ve,Undirected
looking,got,Undirected
looking,quite,Undirected
looking,bristol,Undirected
ford,mustang,Undirected
ford,lucky,Undirected
ford,u,Undirected
ford,ve,Undirected
ford,got,Undirected
ford,quite,Undirected
ford,bristol,Undirected
mustang,lucky,Undirected
mustang,u,Undirected
mustang,ve,Undirected
mustang,got,Undirected
mustang,quite,Undirected
mustang,bristol,Undirected
lucky,u,Undirected
lucky,ve,Undirected
lucky,got,Undirected
lucky,quite,Undirected
lucky,bristol,Undirected
u,ve,Undirected
u,got,Undirected
u,quite,Undirected
u,bristol,Undirected
ve,got,Undirected
ve,quite,Undirected
ve,bristol,Undirected
got,quite,Undirected
got,bristol,Undirected
quite,bristol,Undirected
rt,autotestdrivers,Undirected
rt,ford,Undirected
rt,mustang,Undirected
rt,mache,Undirected
rt,trademark,Undirected
rt,much,Undirected
rt,ford,Undirected
rt,electrified,Undirected
rt,future,Undirected
rt,brand,Undirected
autotestdrivers,ford,Undirected
autotestdrivers,mustang,Undirected
autotestdrivers,mache,Undirected
autotestdrivers,trademark,Undirected
autotestdrivers,much,Undirected
autotestdrivers,ford,Undirected
autotestdrivers,electrified,Undirected
autotestdrivers,future,Undirected
autotestdrivers,brand,Undirected
ford,mustang,Undirected
ford,mache,Undirected
ford,trademark,Undirected
ford,much,Undirected
ford,ford,Undirected
ford,electrified,Undirected
ford,future,Undirected
ford,brand,Undirected
mustang,mache,Undirected
mustang,trademark,Undirected
mustang,much,Undirected
mustang,ford,Undirected
mustang,electrified,Undirected
mustang,future,Undirected
mustang,brand,Undirected
mache,trademark,Undirected
mache,much,Undirected
mache,ford,Undirected
mache,electrified,Undirected
mache,future,Undirected
mache,brand,Undirected
trademark,much,Undirected
trademark,ford,Undirected
trademark,electrified,Undirected
trademark,future,Undirected
trademark,brand,Undirected
much,ford,Undirected
much,electrified,Undirected
much,future,Undirected
much,brand,Undirected
ford,electrified,Undirected
ford,future,Undirected
ford,brand,Undirected
electrified,future,Undirected
electrified,brand,Undirected
future,brand,Undirected
rt,kblock43,Undirected
rt,check,Undirected
rt,rad,Undirected
rt,recreation,Undirected
rt,ford,Undirected
rt,mustang,Undirected
rt,rtr,Undirected
rt,hoonicorn,Undirected
rt,v2,Undirected
rt,lachlan,Undirected
rt,cameron,Undirected
rt,put,Undirected
rt,together,Undirected
rt,completely,Undirected
rt,using,Undirected
kblock43,check,Undirected
kblock43,rad,Undirected
kblock43,recreation,Undirected
kblock43,ford,Undirected
kblock43,mustang,Undirected
kblock43,rtr,Undirected
kblock43,hoonicorn,Undirected
kblock43,v2,Undirected
kblock43,lachlan,Undirected
kblock43,cameron,Undirected
kblock43,put,Undirected
kblock43,together,Undirected
kblock43,completely,Undirected
kblock43,using,Undirected
check,rad,Undirected
check,recreation,Undirected
check,ford,Undirected
check,mustang,Undirected
check,rtr,Undirected
check,hoonicorn,Undirected
check,v2,Undirected
check,lachlan,Undirected
check,cameron,Undirected
check,put,Undirected
check,together,Undirected
check,completely,Undirected
check,using,Undirected
rad,recreation,Undirected
rad,ford,Undirected
rad,mustang,Undirected
rad,rtr,Undirected
rad,hoonicorn,Undirected
rad,v2,Undirected
rad,lachlan,Undirected
rad,cameron,Undirected
rad,put,Undirected
rad,together,Undirected
rad,completely,Undirected
rad,using,Undirected
recreation,ford,Undirected
recreation,mustang,Undirected
recreation,rtr,Undirected
recreation,hoonicorn,Undirected
recreation,v2,Undirected
recreation,lachlan,Undirected
recreation,cameron,Undirected
recreation,put,Undirected
recreation,together,Undirected
recreation,completely,Undirected
recreation,using,Undirected
ford,mustang,Undirected
ford,rtr,Undirected
ford,hoonicorn,Undirected
ford,v2,Undirected
ford,lachlan,Undirected
ford,cameron,Undirected
ford,put,Undirected
ford,together,Undirected
ford,completely,Undirected
ford,using,Undirected
mustang,rtr,Undirected
mustang,hoonicorn,Undirected
mustang,v2,Undirected
mustang,lachlan,Undirected
mustang,cameron,Undirected
mustang,put,Undirected
mustang,together,Undirected
mustang,completely,Undirected
mustang,using,Undirected
rtr,hoonicorn,Undirected
rtr,v2,Undirected
rtr,lachlan,Undirected
rtr,cameron,Undirected
rtr,put,Undirected
rtr,together,Undirected
rtr,completely,Undirected
rtr,using,Undirected
hoonicorn,v2,Undirected
hoonicorn,lachlan,Undirected
hoonicorn,cameron,Undirected
hoonicorn,put,Undirected
hoonicorn,together,Undirected
hoonicorn,completely,Undirected
hoonicorn,using,Undirected
v2,lachlan,Undirected
v2,cameron,Undirected
v2,put,Undirected
v2,together,Undirected
v2,completely,Undirected
v2,using,Undirected
lachlan,cameron,Undirected
lachlan,put,Undirected
lachlan,together,Undirected
lachlan,completely,Undirected
lachlan,using,Undirected
cameron,put,Undirected
cameron,together,Undirected
cameron,completely,Undirected
cameron,using,Undirected
put,together,Undirected
put,completely,Undirected
put,using,Undirected
together,completely,Undirected
together,using,Undirected
completely,using,Undirected
rt,hot,Undirected
rt,wheel,Undirected
rt,2019,Undirected
rt,super,Undirected
