Source,Target,Type
handsome,svtc,Undirected
legendary,svtc,Undirected
great,happy,Undirected
fun,much,Undirected
shotgun,whodoyoucollect,Undirected
left,slow,Undirected
original,manual,Undirected
mopar,red,Undirected
others,thing,Undirected
others,classic,Undirected
others,pretty,Undirected
others,sharp,Undirected
others,sexy,Undirected
thing,classic,Undirected
thing,pretty,Undirected
thing,sharp,Undirected
thing,sexy,Undirected
classic,pretty,Undirected
classic,sharp,Undirected
classic,sexy,Undirected
pretty,sharp,Undirected
pretty,sexy,Undirected
sharp,sexy,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
crash,southeast,Undirected
others,thing,Undirected
others,classic,Undirected
others,pretty,Undirected
others,sharp,Undirected
others,sexy,Undirected
thing,classic,Undirected
thing,pretty,Undirected
thing,sharp,Undirected
thing,sexy,Undirected
classic,pretty,Undirected
classic,sharp,Undirected
classic,sexy,Undirected
pretty,sharp,Undirected
pretty,sexy,Undirected
sharp,sexy,Undirected
pa,yung,Undirected
machine,giant,Undirected
next,ready,Undirected
next,new,Undirected
ready,new,Undirected
supercharged,new,Undirected
supercharged,rear,Undirected
new,rear,Undirected
next,big,Undirected
legendary,iconic,Undirected
speed,great,Undirected
patriotic,black,Undirected
next,big,Undirected
ebay,convertible,Undirected
ebay,diecast,Undirected
convertible,diecast,Undirected
shotgun,whodoyoucollect,Undirected
speed,great,Undirected
history,powerful,Undirected
history,able,Undirected
history,ow,Undirected
powerful,able,Undirected
powerful,ow,Undirected
able,ow,Undirected
sale,new,Undirected
pa,yung,Undirected
gt,gt,Undirected
chevrolet,ready,Undirected
new,ready,Undirected
auction,time,Undirected
convertible,automatic,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
pa,yung,Undirected
amp,clean,Undirected
convertible,automatic,Undirected
pa,yung,Undirected
others,thing,Undirected
